25-nov	26-nov	27-nov	28-nov	29-nov	30-nov	01-dic	02-dic	03-dic	04-dic	05-dic	06-dic	07-dic	08-dic	09-dic	10-dic	11-dic	12-dic	13-dic	14-dic	15-dic	16-dic	17-dic	18-dic	19-dic	20-dic	21-dic	22-dic	23-dic	24-dic	25-dic	26-dic	27-dic	28-dic	29-dic	30-dic	31-dic	01-gen	02-gen	03-gen	04-gen	05-gen	06-gen	07-gen	08-gen	09-gen	10-gen	11-gen	12-gen	13-gen	14-gen	15-gen	16-gen	17-gen	18-gen	19-gen	20-gen	21-gen	22-gen	23-gen	24-gen	25-gen	26-gen	27-gen	28-gen	29-gen	30-gen	31-gen	01-feb	02-feb	03-feb	04-feb	05-feb	06-feb	07-feb	08-feb	09-feb	10-feb	11-feb	12-feb	13-feb	14-feb	15-feb	16-feb	17-feb	18-feb	19-feb	20-feb	21-feb	22-feb
						119																		119																		119																		119																		119											
									149															149															149															149															149															149					
		148															148															148															148															148															148												
			149															149															149															149															149															149											
					150															150															150															150															150															150									
		109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109			109
														135																		135																		135																		135																		135			
								149															149															149															149															149															149						
														149															149															149															149															149															149
		152																									152																									152																									152												
								149																									149																									149																									149						
						156																										156																										156																										156					
						106											106											106											106											106											106											106											106						
																																																																																									
														132																	132																	132																	132																	132							
																																																																																									
									159										159										159										159										159										159										159										159										159
																																																																																									
			173					173					173					173					173					173					173					173					173					173					173					173					173					173					173					173					173					173	
	173					173					173					173					173					173					173					173					173					173					173					173					173					173					173					173					173					173			
																																																																																									
			102					102					102					102					102					102					102					102					102					102					102					102					102					102					102					102					102					102	
	108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108		108
						68								68								68								68								68								68								68								68								68								68								68			
						126									126									126									126									126									126									126									126									126									126		
												130																	130																	130																	130																	130									
															130																	130																	130																	130																	130						
						130																	130																	130																	130																	130															
	175					175					175					175					175					175					175					175					175					175					175					175					175					175					175					175					175					175			
			170					170					170					170					170					170					170					170					170					170					170					170					170					170					170					170					170					170	
																																																																																									
			170					170					170					170					170					170					170					170					170					170					170					170					170					170					170					170					170					170	
																																																																																									
					119																							119																							119																							119															
					216						216						216						216						216						216						216						216						216						216						216						216						216						216						216
																																																																																									
43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43
115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115			115		
	185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185		185
																																																																																									
			112				112				112				112				112				112				112				112				112				112				112				112				112				112				112				112				112				112				112				112				112				112		
	110				110				110				110				110				110				110				110				110				110				110				110				110				110				110				110				110				110				110				110				110				110				110
				174					174					174					174					174					174					174					174					174					174					174					174					174					174					174					174					174					174
		232							232							232							232							232							232							232							232							232							232							232							232							232			
		201				201				201				201				201				201				201				201				201				201				201				201				201				201				201				201				201				201				201				201				201				201			
																																																																																									
																				157																										157																										157																	
																							157																										157																										157														
																																																																																									
																																																																																									
																																																																																									
																																																																																									
	219						219						219						219						219						219						219						219						219						219						219						219						219						219						219				
							135																	135																	135																	135																	135														
		102																				102																				102																				102																				102							
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
									183													183													183													183													183													183													183		
															160																										160																										160																						
																						160																										160																										160															
																	135																		135																		135																		135																		135
																																																																																									
																																																																																									
												154																	154																	154																	154																	154									
																																																																																									
																																																																																									
														115																				115																				115																				115															
																																																																																									
			219						219						219						219						219						219						219						219						219						219						219						219						219						219						219		
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
