cliente,macchina,cod_articolo,quantity,fine operazione attuale,data consegna,levate rimanenti ciclo,tipo operazione attuale,operatore,velocità
SCORTA,1,2277DN mini,124.0,2024-12-01 02:30:00,2025-11-25,1,2,0,0
INTERNAL,2,2011DN mini,157.0,2024-12-04 13:15:00,2025-01-24,1,2,0,0
INTERNAL,3,2011DN mini,157.0,2024-11-27 12:15:00,2025-01-24,1,2,0,0
INTERNAL,4,2011DN mini,192.41,2024-11-28 07:45:00,2025-01-24,2,2,0,0
INTERNAL,5,2011DN mini,212.74,2024-11-30 05:45:00,2025-01-24,2,2,0,0
SCORTA,6,31002DN1,112.0,2024-11-27 03:30:00,2025-11-25,1,2,0,0
SCORTA,7,2277DN mini,257.18,2024-12-09 11:00:00,2025-11-25,2,2,0,0
INTERNAL,8,2011DN mini,246.43,2024-12-03 11:30:00,2025-01-24,2,2,0,0
INTERNAL,10,2271DN 20700 mini,157.0,2024-11-26 22:00:00,2025-01-24,1,2,0,0
INTERNAL,11,2271DN 20700 mini,210.07,2024-12-03 10:30:00,2025-01-24,2,2,0,0
INTERNAL,12,2271DN 20000 mini,282.0,2024-12-01 02:15:00,2025-01-24,1,2,0,0
DUELEGS,13,X23-3399S+ZF,174.84,2024-12-01 06:30:00,2025-11-25,2,2,0,0
INTERNAL,15,2270S+ZN 19800,137.0,2024-12-08 22:00:00,2025-01-24,1,2,0,0
INTERNAL,19,X23-13097V8ZF,291.68,2024-11-27 20:15:00,2025-01-24,2,2,0,0
INTERNAL,20,X23-13097V8ZF,179.0,2024-11-26 00:00:00,2025-01-24,1,2,0,0
SANYLEG,22,X23-4491DF366,286.74,2024-11-28 09:30:00,2025-12-01,3,2,0,0
FGP,23,31003DN220274 dm84,163.93,2024-11-25 19:00:00,2025-01-24,2,2,0,0
DUELEGS,25,X23-4493S+ZF,361.9,2024-12-01 10:45:00,2025-01-07,3,2,0,0
INTERNAL,26,2270S+ZN mini 19800,137.0,2024-12-07 03:15:00,2025-01-24,1,2,0,0
INTERNAL,28,2270S+ZN mini 19800,187.48,2024-12-01 03:30:00,2025-01-24,2,2,0,0
INTERNAL,29,13007ZF 903C 14000,182.0,2024-11-26 08:30:00,2025-01-24,1,2,0,0
INTERNAL,34,ManilaS+ZN1,126.0,2024-11-30 15:30:00,2025-01-24,1,2,0,0
SANYLEG,41,33001DN2,116.0,2024-11-28 09:15:00,2025-11-25,1,2,0,0
GIZETA,44,7036ZN,245.0,2024-11-27 09:30:00,2025-01-24,1,2,0,0
RADICI,45,2279ZNB10A 11000,328.35,2024-11-27 02:30:00,2025-01-24,2,2,0,0
INTERNAL,47,2271DN 20000 mini,282.0,2024-12-14 21:00:00,2025-01-24,1,2,0,0
INTERNAL,48,2271DN 20000 mini,535.47,2024-12-17 22:00:00,2025-01-24,2,2,0,0
RADICI,53,2276S+ZN,277.94,2024-11-26 03:15:00,2025-11-25,2,2,0,0
INTERNAL,54,2270S+ZN mini 19800,201.56,2024-12-02 03:15:00,2025-01-24,2,2,0,0
INTERNAL,55,X24-1301V2S+ZN mini,119.33,2024-11-27 06:00:00,2025-01-24,2,2,0,0
SCORTA,58,2202ZN/F 17200,129.0,2024-11-24 22:00:00,2025-01-07,1,2,0,0
INTERNAL,62,2271DN 20000 mini,445.09,2024-12-09 10:00:00,2025-01-24,2,2,0,0
INTERNAL,63,2271DN 20000 mini,524.05,2024-12-16 10:00:00,2025-01-24,2,2,0,0
INTERNAL,70,1724S+ZN 2cicli,121.0,2024-12-08 23:00:00,2025-01-24,1,2,0,0
