cliente,macchina,cod_articolo,quantity,fine operazione attuale,data consegna,levate rimanenti ciclo,tipo operazione attuale,operatore
SCORTA,1,2277DN mini,124.37,2024-12-01 03:30:00,2025-11-19,1,2,0
INTERNAL,3,2011DN mini,157.06,2024-11-27 08:15:00,2025-11-19,1,2,0
INTERNAL,4,2011DN mini,255.82,2024-11-28 08:45:00,2025-11-19,2,2,0
INTERNAL,5,2011DN mini,276.39,2024-11-30 07:45:00,2025-11-19,2,2,0
INTERNAL,8,2011DN mini,309.54,2024-12-03 12:30:00,2025-11-19,2,2,0
INTERNAL,9,2011DN mini,212.56,2024-11-24 05:30:00,2025-11-19,2,2,0
INTERNAL,10,2271DN 20700 mini,157.5,2024-11-26 23:00:00,2025-11-19,1,2,0
INTERNAL,11,2271DN 20700 mini,248.52,2024-12-03 11:30:00,2025-11-19,2,2,0
INTERNAL,12,2271DN 20000 mini,282.6,2024-12-01 02:15:00,2025-11-19,1,2,0
DUELEGS,13,X23-3399S+ZF,110.94,2024-11-19 04:00:00,2025-11-19,1,2,0
SCORTA,17,7034ZN,166.61,2024-11-24 03:45:00,2025-11-19,1,2,0
INTERNAL,19,X23-13097V8ZF,337.22,2024-11-23 00:00:00,2025-11-19,2,2,0
INTERNAL,20,X23-13097V8ZF,259.02,2024-11-21 00:00:00,2025-11-19,2,2,0
SANYLEG,22,X23-4491DF366,205.81,2024-11-23 12:45:00,2025-12-01,2,2,0
FGP,23,31003DN220274 dm84,220.47,2024-11-22 11:15:00,2025-11-19,2,2,0
FOCENZA FACTORY,24,4424ZN/F,229.36,2024-11-23 09:45:00,2025-12-15,1,2,0
DUELEGS,25,X23-4493S+ZF,183.75,2024-11-22 08:45:00,2025-11-19,2,2,0
INTERNAL,26,2270S+ZN mini 19800,148.15,2024-11-20 07:45:00,2025-11-19,2,2,0
INTERNAL,27,2270S+ZN mini 19800,188.87,2024-11-25 07:30:00,2025-11-19,2,2,0
INTERNAL,28,2270S+ZN mini 19800,236.47,2024-12-01 03:30:00,2025-11-19,2,2,0
INTERNAL,29,13007ZF 903C 14000,266.65,2024-11-21 03:15:00,2025-11-19,2,2,0
INTERNAL,34,ManilaS+ZN1,126.15,2024-11-30 15:30:00,2025-11-19,1,2,0
RADICI,35,2275S+ZN-B10A 11400,437.32,2024-11-24 11:15:00,2025-11-19,2,2,0
INTERNAL,39,X23-4489DN,936.75,2024-11-20 10:30:00,2025-11-19,5,2,0
SANYLEG,41,33001DN2,116.25,2024-11-20 08:45:00,2025-11-19,1,2,0
GIZETA,44,7036ZN,295.91,2024-11-20 09:00:00,2025-11-19,2,2,0
FOCENZA FACTORY,52,4424S+ZN/F,644.16,2024-11-24 15:00:00,2025-12-15,3,2,0
INTERNAL,54,2270S+ZN mini 19800,252.81,2024-12-02 04:15:00,2025-11-19,2,2,0
INTERNAL,55,X24-1301V2S+ZN mini,153.04,2024-11-27 06:00:00,2025-11-19,2,2,0
SCORTA,58,2202ZN/F 17200,129.47,2024-11-24 22:00:00,2025-11-19,1,2,0
SCORTA,61,4407DN,241.81,2024-11-21 04:00:00,2025-11-19,2,2,0
INTERNAL,62,2271DN 20000 mini,513.86,2024-12-09 10:00:00,2025-11-19,2,2,0
INTERNAL,63,2271DN 20700 mini,179.28,2024-11-22 10:00:00,2025-11-19,2,2,0
SCORTA,64,2277DN mini,184.32,2024-11-24 06:00:00,2025-11-19,2,2,0
MAXIS,67,7035DN1,161.67,2024-11-12 23:45:00,2025-01-25,1,2,0
